,[RF] Logistic Regression,[RF] Support Vector Machines (Linear Kernel),[RF] Support Vector Machines (Radial Basis Kernel),[RF] Support Vector Machines (Sigmoid Kernel),[RF] Gaussian Naive Bayes,[RF] Random Forest,[PPI] Logistic Regression,[PPI] Support Vector Machines (Linear Kernel),[PPI] Support Vector Machines (Radial Basis Kernel),[PPI] Support Vector Machines (Sigmoid Kernel),[PPI] Gaussian Naive Bayes,Ensemble Model
sample_type_PT,0.5441176470588235,0.3382352941176471,0.5441176470588235,0.3235294117647059,0.36764705882352944,0.75,0.8823529411764706,0.058823529411764705,0.6323529411764706,0.35294117647058826,0.9411764705882353,0.5
sample_type_M,0.9954128440366973,0.9954128440366973,0.981651376146789,0.9678899082568807,0.9678899082568807,0.9678899082568807,0.022935779816513763,0.8807339449541285,0.24770642201834864,0.9220183486238532,0.05963302752293578,0.9908256880733946
age_0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0
age_20,0.896551724137931,0.896551724137931,0.9310344827586207,0.896551724137931,0.896551724137931,0.9655172413793104,0.13793103448275862,0.7586206896551724,0.3103448275862069,0.8620689655172413,0.13793103448275862,0.896551724137931
age_40,0.908256880733945,0.8715596330275229,0.8990825688073395,0.8348623853211009,0.8440366972477065,0.926605504587156,0.1926605504587156,0.7247706422018348,0.3119266055045872,0.8348623853211009,0.25688073394495414,0.9174311926605505
age_60,0.8790322580645161,0.8225806451612904,0.8709677419354839,0.8145161290322581,0.8225806451612904,0.9193548387096774,0.25806451612903225,0.6370967741935484,0.3467741935483871,0.7580645161290323,0.29838709677419356,0.8629032258064516
age_80,0.8095238095238095,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.6190476190476191,0.7619047619047619,0.38095238095238093,0.6190476190476191,0.42857142857142855,0.5714285714285714,0.3333333333333333,0.6666666666666666
gender_male,0.8950276243093923,0.856353591160221,0.8784530386740331,0.8453038674033149,0.8342541436464088,0.9060773480662984,0.2154696132596685,0.6906077348066298,0.34806629834254144,0.8011049723756906,0.23756906077348067,0.8729281767955801
gender_female,0.8761904761904762,0.8095238095238095,0.8761904761904762,0.7619047619047619,0.8095238095238095,0.9333333333333333,0.24761904761904763,0.6761904761904762,0.3238095238095238,0.7619047619047619,0.3238095238095238,0.8761904761904762
bmi_normal,0.8695652173913043,0.8152173913043478,0.8913043478260869,0.782608695652174,0.8152173913043478,0.9130434782608695,0.21739130434782608,0.6847826086956522,0.41304347826086957,0.7934782608695652,0.2826086956521739,0.8804347826086957
bmi_overweight,0.9345794392523364,0.8504672897196262,0.897196261682243,0.8317757009345794,0.822429906542056,0.9158878504672897,0.22429906542056074,0.6728971962616822,0.29906542056074764,0.794392523364486,0.2616822429906542,0.8785046728971962
bmi_obese,0.8488372093023255,0.8488372093023255,0.8372093023255814,0.8255813953488372,0.8372093023255814,0.9186046511627907,0.23255813953488372,0.7093023255813954,0.3023255813953488,0.7674418604651163,0.2558139534883721,0.8604651162790697
race_white,0.8892988929889298,0.8376383763837638,0.8782287822878229,0.8118081180811808,0.8228782287822878,0.915129151291513,0.2140221402214022,0.6937269372693727,0.34317343173431736,0.7822878228782287,0.25830258302583026,0.8745387453874539
race_asian,0.8,0.8,0.8,0.8,0.8,0.9,0.6,0.3,0.4,0.8,0.6,0.8
race_not_reported,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.0,1.0,0.2,1.0
ethnicity_hispanic,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.8333333333333334
ethnicity_not_hispanic,0.8929889298892989,0.8487084870848709,0.8782287822878229,0.8228782287822878,0.8339483394833949,0.9188191881918819,0.22509225092250923,0.6863468634686347,0.34686346863468637,0.7933579335793358,0.26199261992619927,0.8782287822878229
ethnicity_not_reported,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.7777777777777778
